日期,金额 (元),一级分类,二级分类,备注
2026-01-17,78.00,购物,服装,内衣
2026-01-17,42.00,交通,公交,公交
2026-01-16,95.00,娱乐,电影,IMAX
2026-01-16,28.00,通讯,话费,话费充值
2026-01-15,150.00,住房,房租,4月份房租
2026-01-15,55.00,医疗,药品,感冒药
2026-01-14,88.00,餐饮,午餐,便当
2026-01-14,38.00,教育,书籍,小说
2026-01-13,78.00,购物,日用品,洗发水
2026-01-13,45.00,交通,打车,打车
2026-01-12,95.00,娱乐,游戏,月卡
2026-01-12,25.00,通讯,网费,宽带
2026-01-11,180.00,住房,水电,电费
2026-01-11,55.00,医疗,检查,验血
2026-01-10,88.00,餐饮,晚餐,炒菜
2026-01-10,38.00,教育,考试,报名费
2026-01-09,78.00,购物,数码,鼠标
2026-01-09,42.00,交通,地铁,地铁
2026-01-08,95.00,娱乐,旅行,动物园
2026-01-08,28.00,通讯,话费,话费充值
2026-01-07,150.00,住房,物业,物业费
2026-01-07,55.00,医疗,药品,创可贴
2026-01-06,88.00,餐饮,午餐,快餐
2026-01-06,38.00,教育,课程,书法课
2026-01-05,78.00,购物,服装,袜子
2026-01-05,45.00,交通,打车,打车
2026-01-04,95.00,娱乐,电影,普通电影
2026-01-04,25.00,通讯,网费,宽带续费
2026-01-03,180.00,住房,房租,3月份房租
2026-01-03,55.00,医疗,挂号,内科
2026-01-02,88.00,餐饮,晚餐,寿司
2026-01-02,38.00,教育,书籍,历史书
2026-01-01,78.00,购物,日用品,洗衣液
2026-01-01,42.00,交通,公交,公交
